"Statistic Label","Year","Employment Size","Activity","UNIT","VALUE"
"Active Enterprises","2019","All persons engaged size classes","Mining and Quarrying (B)","Number","451"
"Active Enterprises","2019","All persons engaged size classes","Manufacturing (C)","Number","16461"
"Active Enterprises","2019","All persons engaged size classes","Electricity, Gas, Steam and Air Conditioning Supply (D)","Number","663"
"Active Enterprises","2019","All persons engaged size classes","Water Supply; Sewerage, Waste Management and Remediation Activities (E)","Number","1024"
"Active Enterprises","2019","All persons engaged size classes","Construction (F)","Number","59175"
"Active Enterprises","2019","All persons engaged size classes","WholeSale and Retail Trade; Repair of Motor Vehicles and Motorcycles (G)","Number","46786"
"Active Enterprises","2019","All persons engaged size classes","Transportation and Storage (H)","Number","24851"
"Active Enterprises","2019","All persons engaged size classes","Accommodation and Food Service Activities (I)","Number","19418"
"Active Enterprises","2019","All persons engaged size classes","Information and Communication (J)","Number","16418"
"Active Enterprises","2019","All persons engaged size classes","Financial and Insurance Activities (K)","Number","13441"
"Active Enterprises","2019","All persons engaged size classes","Real Estate Activities (L)","Number","15788"
"Active Enterprises","2019","All persons engaged size classes","Professional, Scientific and Technical Activities (M)","Number","45161"
"Active Enterprises","2019","All persons engaged size classes","Administrative and Support Service Activities (N)","Number","18097"
"Active Enterprises","2019","All persons engaged size classes","Education (P)","Number","14973"
"Active Enterprises","2019","All persons engaged size classes","Human Health and Social Work Activities (Q)","Number","21068"
"Active Enterprises","2019","All persons engaged size classes","Arts, Entertainment and Recreation (R)","Number","12273"
"Active Enterprises","2019","All persons engaged size classes","Leather and Related Products (C15)","Number","69"
"Active Enterprises","2019","All persons engaged size classes","Wood and Wood Products, except Furniture (C16)","Number","1149"
"Active Enterprises","2019","All persons engaged size classes","Coke and Refined Petroleum Products (C19)","Number","22"
"Active Enterprises","2019","All persons engaged size classes","Manufacture of Chemicals and Chemical Products (C20)","Number","353"
"Active Enterprises","2019","All persons engaged size classes","Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations (C21)","Number","213"
"Active Enterprises","2019","All persons engaged size classes","Manufacture of Rubber and Plastic Products (C22)","Number","467"
"Active Enterprises","2019","All persons engaged size classes","Manufacture of Other Non-Metallic Mineral Products (C23)","Number","1084"
"Active Enterprises","2019","All persons engaged size classes","Manufacture of Computer, Electronic and Optical Products (C26)","Number","387"
"Active Enterprises","2019","All persons engaged size classes","Manufacture of Electrical Equipment (C27)","Number","268"
"Active Enterprises","2019","All persons engaged size classes","Manufacture of Machinery and Equipment n.e.c. (C28)","Number","610"
"Active Enterprises","2019","All persons engaged size classes","Repair and Installation of Machinery and Equipment (C33)","Number","1643"
"Active Enterprises","2019","All persons engaged size classes","WholeSale and Retail Trade and Repair of Motor Vehicles and Motorcycles (G45)","Number","9386"
"Active Enterprises","2019","All persons engaged size classes","WholeSale Trade, except of Motor Vehicles and Motorcycles (G46)","Number","13526"
"Active Enterprises","2019","All persons engaged size classes","Retail Trade, except of Motor Vehicles and Motorcycles (G47)","Number","23874"
"Active Enterprises","2019","All persons engaged size classes","Land Transport and Transport Via Pipelines (H49)","Number","19913"
"Active Enterprises","2019","All persons engaged size classes","Water Transport (H50)","Number","224"
"Active Enterprises","2019","All persons engaged size classes","Air Transport (H51)","Number","91"
"Active Enterprises","2019","All persons engaged size classes","Warehousing and Support Activities for Transportation (H52)","Number","1906"
"Active Enterprises","2019","All persons engaged size classes","Postal and Courier Activities (H53)","Number","2717"
"Active Enterprises","2019","All persons engaged size classes","Accommodation (I55)","Number","3842"
"Active Enterprises","2019","All persons engaged size classes","Food and Beverage Service Activities (I56)","Number","15576"
"Active Enterprises","2019","All persons engaged size classes","ICT Total (C261 TO C264,C268,G465,J582,J61,J62,J631,S951)","Number","13594"
"Active Enterprises","2019","All persons engaged size classes","Publishing Activities (J58)","Number","1638"
"Active Enterprises","2019","All persons engaged size classes","Picture, Video and Television Programmes, Sound Recording and Music Publishing Activities (J59)","Number","2771"
"Active Enterprises","2019","All persons engaged size classes","Programming and Broadcasting Activities (J60)","Number","276"
"Active Enterprises","2019","All persons engaged size classes","Telecommunications (J61)","Number","652"
"Active Enterprises","2019","All persons engaged size classes","Computer Programming, Consultancy and Related Activities (J62)","Number","10443"
"Active Enterprises","2019","All persons engaged size classes","Information Service Activities (J63)","Number","638"
"Active Enterprises","2019","All persons engaged size classes","Financial Service Activities, except Insurance and Pension Funding (K64)","Number","9716"
"Active Enterprises","2019","All persons engaged size classes","Insurance, Reinsurance and Pension Funding, except Compulsory Social Security (K65)","Number","483"
"Active Enterprises","2019","All persons engaged size classes","Activities Auxiliary to Financial Services and Insurance Activities (K66)","Number","3242"
"Active Enterprises","2019","All persons engaged size classes","Real Estate Activities (L68)","Number","15788"
"Active Enterprises","2019","All persons engaged size classes","Legal and Accounting Activities (M69)","Number","11896"
"Active Enterprises","2019","All persons engaged size classes","Activities of Head Offices; Management Consultancy Activities (M70)","Number","11593"
"Active Enterprises","2019","All persons engaged size classes","Architectural and Engineering Activities; Technical Testing and Analysis (M71)","Number","9240"
"Active Enterprises","2019","All persons engaged size classes","Scientific Research and Development (M72)","Number","818"
"Active Enterprises","2019","All persons engaged size classes","Advertising and Market Research (M73)","Number","1840"
"Active Enterprises","2019","All persons engaged size classes","Other Professional, Scientific and Technical Activities (M74)","Number","8580"
"Active Enterprises","2019","All persons engaged size classes","Veterinary Activities (M75)","Number","1194"
"Active Enterprises","2019","All persons engaged size classes","Rental and Leasing Activities (N77)","Number","5500"
"Active Enterprises","2019","All persons engaged size classes","Employment Activities (N78)","Number","1659"
"Active Enterprises","2019","All persons engaged size classes","Travel Agency, Tour Operator and Other Reservation Service and Related Activities (N79)","Number","1255"
"Active Enterprises","2019","All persons engaged size classes","Security and Investigation Activities (N80)","Number","999"
"Active Enterprises","2019","All persons engaged size classes","Services to Buildings and Landscape Activities (N81)","Number","6127"
"Active Enterprises","2019","All persons engaged size classes","Office Administrative, Office Support and Other Business Support Activities (N82)","Number","2557"
"Active Enterprises","2019","All persons engaged size classes","Education (P85)","Number","14973"
"Active Enterprises","2019","All persons engaged size classes","Human Health Activities (Q86)","Number","14939"
"Active Enterprises","2019","All persons engaged size classes","Residential Care Activities (Q87)","Number","993"
"Active Enterprises","2019","All persons engaged size classes","Social Work Activities without Accommodation (Q88)","Number","5136"
"Active Enterprises","2019","All persons engaged size classes","Creative, Arts and Entertainment Activities (R90)","Number","7006"
"Active Enterprises","2019","All persons engaged size classes","Libraries, Archives, Museums and Other Cultural Activities (R90)","Number","260"
"Active Enterprises","2019","All persons engaged size classes","Gambling and Betting Activities (R92)","Number","416"
"Active Enterprises","2019","All persons engaged size classes","Sports Activities and Amusement and Recreation Activities (R93)","Number","4591"
"Active Enterprises","2019","All persons engaged size classes","Repair of Computers and Personal and Household Goods (S95)","Number","1670"
"Active Enterprises","2019","All persons engaged size classes","Other Personal Service Activities (S96)","Number","14496"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale in Non-Specialised Stores (G471)","Number","4387"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Food, Beverages and Tobacco in Specialised Stores (G472)","Number","2870"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Automotive Fuel in Specialised Stores (G473)","Number","993"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Information and Communication Equipment in Specialised Stores (G474)","Number","894"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Other Household Equipment in Specialised Stores (G475)","Number","2755"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Cultural and Recreation Goods in Specialised Stores (G476)","Number","1357"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Other Goods in Specialised Stores (G477)","Number","8516"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale via Stalls and Markets (G478)","Number","365"
"Active Enterprises","2019","All persons engaged size classes","Retail Trade not in Stores, Stalls or Markets (G479)","Number","1737"
"Active Enterprises","2019","All persons engaged size classes","Computer Programming, Consultancy and Related Activities (J620)","Number","10443"
"Active Enterprises","2019","All persons engaged size classes","Buying and Selling of Own Real Estate (L681)","Number","416"
"Active Enterprises","2019","All persons engaged size classes","Renting and Operating of Own or Leased Real Estate (L682)","Number","10505"
"Active Enterprises","2019","All persons engaged size classes","Real Estate Activities on a Fee or Contract Basis (L683)","Number","4867"
"Active Enterprises","2019","All persons engaged size classes","Legal Activities (M691)","Number","4953"
"Active Enterprises","2019","All persons engaged size classes","Accounting, Bookkeeping and Auditing Activities; Tax Consultancy (M692)","Number","6943"
"Active Enterprises","2019","All persons engaged size classes","Activities of Head Offices (M701)","Number","484"
"Active Enterprises","2019","All persons engaged size classes","Management Consultancy Activities (M702)","Number","11109"
"Active Enterprises","2019","All persons engaged size classes","Architectural and Engineering Activities and Related Technical Consultancy (M711)","Number","8838"
"Active Enterprises","2019","All persons engaged size classes","Technical Testing and Analysis (M712)","Number","402"
"Active Enterprises","2019","All persons engaged size classes","Research and Experimental Development on Natural Sciences and Engineering (M721)","Number","632"
"Active Enterprises","2019","All persons engaged size classes","Research and Experimental Development on Social Sciences and Humanities (722)","Number","186"
"Active Enterprises","2019","All persons engaged size classes","Advertising (M731)","Number","1602"
"Active Enterprises","2019","All persons engaged size classes","Market Research and Public Opinion Polling (M732)","Number","238"
"Active Enterprises","2019","All persons engaged size classes","Specialised Design Activities (M741)","Number","2955"
"Active Enterprises","2019","All persons engaged size classes","Photographic Activities (M742)","Number","1829"
"Active Enterprises","2019","All persons engaged size classes","Translation and Interpretation Activities (M743)","Number","608"
"Active Enterprises","2019","All persons engaged size classes","Other Professional, Scientific and Technical Activities n.e.c. (M749)","Number","3188"
"Active Enterprises","2019","All persons engaged size classes","Veterinary Activities (M750)","Number","1194"
"Active Enterprises","2019","All persons engaged size classes","Renting and Leasing of Motor Vehicles (N771)","Number","195"
"Active Enterprises","2019","All persons engaged size classes","Renting and Leasing of Personal and Household Goods (N772)","Number","357"
"Active Enterprises","2019","All persons engaged size classes","Renting and Leasing of Other Machinery, Equipment and Tangible goods (N773)","Number","4755"
