active_enterprises,enterprise_births,persons_engaged_in_active_enterprises,employees_in_active_enterprises,persons_engaged_in_birthed_enterprises,employees_in_birthed_enterprises
191.0,12.0,2649.0,2610.0,163.0,0.0
2340.0,166.0,31444.0,30715.0,2192.0,0.0
252.0,6.0,3285.0,3114.0,,0.0
160.0,,2067.0,2062.0,51.0,0.0
8.0,0.0,120.0,120.0,0.0,0.0
72.0,5.0,1002.0,1001.0,71.0,0.0
16.0,0.0,218.0,218.0,0.0,0.0
211.0,8.0,2829.0,2819.0,100.0,0.0
573.0,17.0,7756.0,7707.0,241.0,0.0
57.0,,761.0,760.0,,0.0
70.0,,939.0,938.0,,0.0
,0.0,,,0.0,0.0
290.0,5.0,3882.0,3863.0,71.0,0.0
316.0,5.0,4232.0,4213.0,71.0,0.0
441.0,,5998.0,5951.0,,0.0
156.0,0.0,2075.0,2074.0,0.0,0.0
14553.0,,195401.0,191922.0,5465.0,0.0
30.0,,394.0,391.0,,0.0
4.0,,,,,0.0
81.0,,1104.0,1081.0,73.0,0.0
,0.0,,,0.0,0.0
12.0,0.0,,,0.0,0.0
106.0,,1396.0,1396.0,,0.0
3.0,0.0,40.0,40.0,0.0,0.0
101.0,,1413.0,1412.0,,0.0
279.0,5.0,3830.0,3829.0,77.0,0.0
279.0,5.0,3830.0,3829.0,77.0,0.0
1341.0,41.0,17737.0,17613.0,507.0,0.0
34.0,,,,,0.0
670.0,10.0,8947.0,8850.0,129.0,0.0
670.0,10.0,8947.0,8850.0,129.0,0.0
11.0,,,,,0.0
86.0,5.0,1201.0,1199.0,71.0,0.0
188.0,3.0,2492.0,2491.0,40.0,0.0
387.0,10.0,5113.0,5107.0,134.0,0.0
144.0,3.0,1906.0,1898.0,37.0,0.0
2149.0,154.0,28795.0,28105.0,2029.0,0.0
90.0,0.0,1238.0,1235.0,0.0,0.0
35.0,0.0,,,0.0,0.0
479.0,8.0,6066.0,5233.0,107.0,0.0
1319.0,,17963.0,16947.0,325.0,0.0
13.0,,175.0,175.0,13.0,0.0
450.0,7.0,6119.0,6118.0,,0.0
463.0,,6294.0,6293.0,,0.0
23.0,,,,,0.0
478.0,10.0,6550.0,6548.0,,0.0
39.0,,554.0,554.0,43.0,0.0
,0.0,,,0.0,0.0
454.0,,6129.0,6041.0,,0.0
45.0,,609.0,603.0,,0.0
4.0,0.0,46.0,46.0,0.0,0.0
,0.0,,,0.0,0.0
231.0,,3050.0,2586.0,,0.0
483.0,,6335.0,5700.0,111.0,0.0
29.0,0.0,409.0,408.0,0.0,0.0
195.0,,2611.0,2601.0,100.0,0.0
10.0,,138.0,138.0,,0.0
16.0,0.0,241.0,241.0,0.0,0.0
29.0,,376.0,376.0,,0.0
26.0,0.0,353.0,351.0,0.0,0.0
56.0,,770.0,770.0,,0.0
62.0,,839.0,838.0,,0.0
49.0,0.0,674.0,673.0,0.0,0.0
882.0,12.0,11874.0,11850.0,158.0,0.0
13.0,0.0,178.0,178.0,0.0,0.0
29.0,0.0,,,0.0,0.0
23.0,,,,,0.0
79.0,,1067.0,1064.0,,0.0
18.0,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
69.0,,981.0,981.0,,0.0
347.0,10.0,4458.0,4347.0,151.0,0.0
109.0,,1469.0,1464.0,,0.0
62.0,,847.0,844.0,,0.0
18.0,,,,,0.0
78.0,0.0,1024.0,1024.0,0.0,0.0
7.0,,101.0,101.0,,0.0
33.0,,,,43.0,0.0
59.0,,,,,0.0
,0.0,,,0.0,0.0
1308.0,31.0,17310.0,16571.0,414.0,0.0
8.0,0.0,113.0,113.0,0.0,0.0
93.0,,1275.0,1275.0,,0.0
177.0,4.0,2386.0,2344.0,53.0,0.0
177.0,,2386.0,2344.0,53.0,0.0
110.0,,1468.0,1462.0,,0.0
154.0,,2093.0,2083.0,,0.0
9.0,0.0,,,0.0,0.0
128.0,,,,,0.0
13.0,0.0,167.0,166.0,0.0,0.0
63.0,,,,,0.0
54.0,,726.0,724.0,,0.0
17.0,0.0,212.0,207.0,0.0,0.0
26.0,,,,,0.0
8.0,0.0,,,0.0,0.0
78.0,,1131.0,1125.0,,0.0
615.0,,8482.0,8340.0,,0.0
216.0,,3095.0,3055.0,74.0,0.0
81.0,,1063.0,1047.0,,0.0
176.0,,2321.0,2270.0,,0.0
38.0,0.0,,,0.0,0.0
808.0,5.0,10618.0,10576.0,69.0,0.0
195.0,3.0,2554.0,2543.0,41.0,0.0
