active_enterprise,persons_engaged,employees
20.0,336.0,324.0
55.0,1443.0,1406.0
221.0,2161.0,1998.0
358.0,7054.0,6821.0
251.0,3272.0,3092.0
636.0,23696.0,23450.0
394.0,5022.0,4749.0
490.0,5523.0,5150.0
81.0,2172.0,2122.0
76.0,1439.0,1380.0
19.0,377.0,365.0
39.0,382.0,353.0
102.0,2708.0,2649.0
15.0,128.0,119.0
56.0,815.0,779.0
177.0,2380.0,2242.0
67.0,1198.0,1161.0
33.0,773.0,748.0
28.0,331.0,308.0
32.0,911.0,891.0
59.0,726.0,686.0
74.0,949.0,897.0
58.0,1226.0,1196.0
53.0,1085.0,1048.0
130.0,3228.0,3148.0
113.0,1650.0,1579.0
3842.0,71541.0,69030.0
,,
223.0,2165.0,2020.0
320.0,2668.0,2450.0
653.0,5410.0,4965.0
2162.0,22818.0,21384.0
954.0,7999.0,7315.0
4236.0,85065.0,83831.0
1326.0,14239.0,13443.0
1187.0,10166.0,9340.0
607.0,7227.0,6912.0
418.0,4019.0,3718.0
222.0,1514.0,1371.0
222.0,1301.0,1137.0
787.0,8444.0,7994.0
151.0,1154.0,1055.0
518.0,4569.0,4330.0
725.0,5470.0,4894.0
558.0,5047.0,4769.0
208.0,1661.0,1507.0
255.0,1936.0,1781.0
265.0,1964.0,1767.0
273.0,2806.0,2633.0
668.0,4025.0,3566.0
492.0,4378.0,4070.0
361.0,3209.0,2996.0
635.0,6883.0,6474.0
503.0,4993.0,4706.0
19418.0,222716.0,211598.0
,,
59.0,192.0,149.0
69.0,226.0,167.0
127.0,350.0,255.0
705.0,2987.0,2500.0
140.0,408.0,294.0
2448.0,18063.0,16430.0
358.0,942.0,673.0
199.0,568.0,416.0
325.0,691.0,450.0
122.0,386.0,298.0
54.0,111.0,
29.0,65.0,
263.0,900.0,701.0
38.0,68.0,40.0
199.0,577.0,440.0
131.0,288.0,180.0
270.0,569.0,379.0
54.0,174.0,141.0
81.0,211.0,156.0
57.0,133.0,88.0
83.0,236.0,159.0
187.0,494.0,338.0
130.0,363.0,260.0
115.0,343.0,261.0
157.0,455.0,335.0
241.0,420.0,248.0
6943.0,30560.0,25563.0
,,
,38.0,25.0
27.0,128.0,120.0
48.0,544.0,520.0
297.0,2104.0,1991.0
56.0,196.0,176.0
1565.0,29703.0,29436.0
117.0,,
70.0,,
107.0,915.0,878.0
40.0,409.0,
,68.0,53.0
11.0,,
116.0,408.0,364.0
16.0,,37.0
75.0,275.0,253.0
54.0,266.0,243.0
78.0,327.0,288.0
18.0,49.0,43.0
32.0,103.0,88.0
,,37.0
39.0,119.0,100.0
58.0,157.0,
55.0,239.0,
32.0,,
62.0,355.0,
53.0,168.0,
3242.0,38825.0,37874.0
,,
,,
0.0,0.0,0.0
,,
15.0,3758.0,3758.0
3.0,,
37.0,2649.0,2647.0
4.0,,
,,
,,
,,
,,0.0
0.0,0.0,0.0
,,
,,
,,
0.0,0.0,0.0
0.0,0.0,0.0
,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
,,
,,0.0
4.0,1557.0,1556.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
85.0,9190.0,9181.0
,,
5.0,16.0,
11.0,,
,3002.0,2997.0
118.0,3454.0,3444.0
15.0,231.0,231.0
672.0,34700.0,34617.0
49.0,3667.0,3659.0
17.0,,73.0
38.0,783.0,781.0
,51.0,
10.0,100.0,98.0
4.0,4.0,
30.0,699.0,694.0
5.0,,
19.0,167.0,165.0
,215.0,206.0
37.0,825.0,817.0
3.0,,
4.0,,
,422.0,417.0
5.0,,
24.0,,
19.0,1085.0,1081.0
17.0,,
,942.0,935.0
43.0,1025.0,1014.0
1325.0,53822.0,53610.0
,,
,,
3.0,,0.0
10.0,,
46.0,,
4.0,4.0,4.0
245.0,3478.0,3478.0
12.0,,
5.0,,
19.0,42.0,42.0
,,
,,
0.0,0.0,0.0
18.0,210.0,210.0
0.0,0.0,0.0
8.0,,
3.0,0.0,0.0
9.0,10.0,9.0
,,
,,
,0.0,0.0
,0.0,0.0
7.0,,
5.0,15.0,15.0
3.0,,
6.0,,
7.0,,
484.0,4879.0,4871.0
,,
,,86.0
81.0,,111.0
193.0,,
1302.0,4115.0,3852.0
136.0,332.0,273.0
5363.0,28606.0,27333.0
396.0,1068.0,
162.0,282.0,
470.0,1222.0,1086.0
,,188.0
,,
38.0,56.0,41.0
321.0,822.0,749.0
36.0,66.0,57.0
202.0,,
121.0,,126.0
316.0,456.0,340.0
,,
,116.0,
59.0,82.0,53.0
76.0,111.0,84.0
172.0,326.0,279.0
190.0,378.0,315.0
109.0,,
181.0,,345.0
378.0,532.0,
11593.0,43201.0,39865.0
,,
159.0,841.0,738.0
180.0,613.0,493.0
681.0,5049.0,4751.0
1660.0,15607.0,14662.0
411.0,1673.0,1392.0
6241.0,97114.0,95405.0
763.0,7813.0,7333.0
568.0,1543.0,1170.0
669.0,5370.0,5006.0
236.0,1072.0,921.0
177.0,780.0,669.0
121.0,231.0,141.0
574.0,3394.0,3088.0
121.0,806.0,719.0
353.0,1794.0,1617.0
407.0,1204.0,923.0
593.0,3192.0,2859.0
176.0,1344.0,1238.0
163.0,457.0,351.0
194.0,1283.0,1152.0
195.0,685.0,545.0
534.0,2983.0,2623.0
317.0,3653.0,3454.0
239.0,995.0,847.0
458.0,2519.0,2203.0
591.0,2593.0,2200.0
18097.0,167374.0,158440.0
,,
10.0,,5.0
,14.0,11.0
17.0,16.0,7.0
105.0,540.0,497.0
,,30.0
802.0,4523.0,4286.0
48.0,143.0,115.0
21.0,,
60.0,102.0,77.0
14.0,12.0,
10.0,17.0,10.0
4.0,,
37.0,84.0,71.0
3.0,,
26.0,78.0,65.0
18.0,24.0,
38.0,83.0,56.0
5.0,7.0,
12.0,14.0,8.0
8.0,13.0,
11.0,16.0,
15.0,25.0,19.0
27.0,,
,,
31.0,63.0,51.0
53.0,162.0,137.0
1602.0,6577.0,5928.0
,,
,,
14.0,,11.0
20.0,,
130.0,643.0,590.0
24.0,62.0,
915.0,8083.0,7821.0
52.0,149.0,
21.0,,
69.0,109.0,82.0
,,7.0
,,10.0
4.0,,
42.0,99.0,
,7.0,
31.0,,
22.0,34.0,23.0
44.0,93.0,64.0
,,
,,8.0
8.0,13.0,
14.0,19.0,9.0
20.0,34.0,25.0
31.0,,
29.0,,
34.0,,51.0
61.0,176.0,147.0
1840.0,10406.0,9674.0
,,
,,0.0
0.0,0.0,0.0
8.0,50.0,50.0
4.0,4.0,
,,
45.0,10697.0,10695.0
,,0.0
,,
,,6.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
,,
,,
,,
,,
,,
,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
,,
0.0,0.0,0.0
,,
,0.0,0.0
4.0,6.0,6.0
0.0,0.0,0.0
91.0,10809.0,10800.0
,,
78.0,313.0,287.0
104.0,250.0,216.0
204.0,620.0,540.0
1739.0,4656.0,4313.0
165.0,367.0,289.0
2547.0,15485.0,14612.0
317.0,876.0,756.0
237.0,469.0,374.0
388.0,1388.0,1261.0
178.0,,468.0
84.0,314.0,278.0
52.0,,54.0
345.0,1526.0,1418.0
38.0,130.0,118.0
191.0,397.0,338.0
198.0,514.0,423.0
288.0,678.0,568.0
63.0,194.0,171.0
72.0,164.0,134.0
70.0,,80.0
92.0,,
236.0,452.0,
196.0,391.0,313.0
118.0,,265.0
211.0,588.0,500.0
276.0,605.0,483.0
8838.0,32069.0,29061.0
,,
84.0,387.0,359.0
110.0,254.0,
222.0,703.0,620.0
1802.0,5051.0,4678.0
171.0,388.0,
2636.0,16922.0,16036.0
338.0,1375.0,1245.0
248.0,485.0,386.0
405.0,1444.0,1312.0
,529.0,468.0
88.0,332.0,
,97.0,
367.0,1649.0,1532.0
41.0,133.0,
198.0,467.0,406.0
206.0,555.0,
306.0,751.0,636.0
67.0,208.0,184.0
78.0,197.0,165.0
75.0,109.0,85.0
96.0,526.0,477.0
249.0,600.0,510.0
212.0,1163.0,1078.0
122.0,350.0,
214.0,606.0,518.0
289.0,658.0,533.0
9240.0,36428.0,33289.0
,,
119.0,430.0,342.0
85.0,219.0,158.0
259.0,770.0,579.0
1141.0,4033.0,3236.0
362.0,1149.0,904.0
3860.0,20112.0,17397.0
661.0,1910.0,1433.0
413.0,1384.0,1079.0
497.0,2374.0,2054.0
181.0,715.0,584.0
92.0,254.0,182.0
88.0,188.0,
404.0,1877.0,1619.0
53.0,143.0,109.0
255.0,3030.0,2869.0
260.0,780.0,595.0
393.0,1188.0,884.0
82.0,167.0,112.0
120.0,305.0,222.0
101.0,331.0,268.0
159.0,419.0,310.0
284.0,826.0,625.0
210.0,857.0,717.0
204.0,556.0,
313.0,1029.0,799.0
428.0,1242.0,935.0
12273.0,47618.0,38722.0
,,
67.0,599.0,565.0
79.0,538.0,490.0
113.0,1056.0,999.0
473.0,2813.0,2565.0
123.0,517.0,438.0
421.0,3082.0,2922.0
171.0,1183.0,1091.0
113.0,312.0,230.0
137.0,547.0,472.0
102.0,491.0,428.0
89.0,424.0,374.0
31.0,213.0,194.0
167.0,1673.0,1601.0
36.0,92.0,70.0
106.0,899.0,852.0
102.0,610.0,544.0
152.0,871.0,805.0
95.0,576.0,525.0
61.0,591.0,556.0
56.0,143.0,103.0
59.0,305.0,272.0
157.0,547.0,448.0
117.0,1559.0,1506.0
56.0,362.0,328.0
160.0,886.0,788.0
82.0,232.0,183.0
3473.0,21317.0,19446.0
,,
3455.0,19386.0,17282.0
4706.0,21857.0,18941.0
8215.0,38638.0,33603.0
35542.0,214160.0,193811.0
9945.0,48251.0,41471.0
103791.0,1012492.0,963412.0
17888.0,103379.0,92344.0
10516.0,51256.0,44269.0
13348.0,79676.0,72041.0
5581.0,27523.0,24063.0
3853.0,16952.0,14432.0
2336.0,8406.0,6808.0
11569.0,83480.0,76951.0
2381.0,10911.0,9385.0
7943.0,42815.0,38510.0
8598.0,42013.0,36171.0
12067.0,55771.0,48551.0
3961.0,24167.0,21866.0
4089.0,18409.0,15863.0
3744.0,15006.0,12496.0
4067.0,18776.0,16011.0
